Title,Battery Size (kWh),Top Speed (km/h),Range (km),Efficiency (Wh/km),Fastcharge Speed (km/h),price_pounds,Clusters
Mercedes EQS SUV 500 4MATIC,108.4,210,490,221,640,50830.0,0
Porsche Taycan 4 Cross Turismo,83.7,220,440,190,1080,88200.0,3
Mercedes EQA 350 4MATIC,66.5,160,355,187,510,55000.0,2
XPENG P7 AWD Performance,82.7,200,460,180,640,50830.0,0
Mercedes EQE 350,89.0,210,510,175,640,50830.0,0
Peugeot e-Rifter Standard 50 kWh,46.3,135,205,226,330,33120.0,1
Nissan Ariya e-4ORCE 87kWh - 290 kW,87.0,200,405,215,480,50830.0,0
Toyota Proace City Verso Electric L2 50 kWh,46.3,135,205,226,330,50830.0,1
Porsche Taycan 4S,71.0,250,415,171,1020,90700.0,3
Citroen e-C4 X 54 kWh,50.8,150,305,167,440,50830.0,2
Toyota Proace City Verso Electric L1 50 kWh,46.3,135,210,220,330,50830.0,1
CUPRA Born 170 kW - 58 kWh,58.0,160,345,168,460,39205.0,2
BYD SEAL 82.5 kWh AWD Excellence,82.5,180,485,170,530,47990.0,0
Toyota PROACE Verso M 75 kWh,68.0,130,265,257,290,50830.0,1
Mercedes EQT 200 Standard,45.0,132,225,200,230,50830.0,2
Peugeot e-Rifter Long 50 kWh,46.3,135,200,232,320,35120.0,1
Genesis GV60 Sport,74.0,200,380,195,990,58365.0,0
Aiways U6,60.0,160,350,171,430,50830.0,2
Fiat 500e 3+1 24 kWh,21.3,135,135,158,230,50830.0,2
Opel Combo-e Life 50 kWh,46.3,135,205,226,330,34085.0,1
Audi Q4 Sportback e-tron 45 quattro,76.6,180,400,192,570,50830.0,0
Peugeot e-Traveller Long 75 kWh,68.0,130,260,262,280,50830.0,1
Porsche Taycan 4S Cross Turismo,83.7,240,440,190,1080,95200.0,3
Kia e-Soul 39.2 kWh,39.2,157,230,170,200,32845.0,2
Peugeot e-Expert Combi Standard 75 kWh,68.0,130,265,257,290,50830.0,1
Mercedes eVito Tourer Extra-Long 90 kWh,90.0,160,305,295,310,83850.0,1
Porsche Taycan Turbo S Sport Turismo,83.7,260,395,212,970,149300.0,3
Porsche Taycan Turbo S Cross Turismo,83.7,250,410,204,1010,149300.0,3
Mercedes EQV 250 Long,60.0,160,210,286,200,50830.0,1
Mercedes EQV 300 Extra-Long,90.0,160,310,290,310,50830.0,1
Mercedes EQA 300 4MATIC,66.5,160,355,187,510,53000.0,2
Citroen e-Jumpy Combi M 75 kWh,68.0,130,265,257,290,50830.0,1
